time,current_ec,current_nc,pressure
734048.577148426,0.007,0.05,2096.66373133
734048.577148438,0.01,0.056,2096.57252949
734048.577843171,0.016,0.032,2096.62156273
734048.578537222,0.023,0.058,2096.66765399
734048.579231991,0.005,0.013,2096.68040263
734048.579926042,0.002,0.016,2096.59410411
734048.580620671,0.037,0.075,2096.59900744
734048.581315428,0.018,0.05,2096.66373133
734048.582009491,0.002,0.014,2096.65392468
734048.582704259,0.009,0.012,2096.5803748
734048.583398345,0.029,0.052,2096.63725338
734048.58409309,0.025,0.056,2096.59802678
734048.584787164,0.044,0.104,2096.59018146
734048.585481875,0.02,0.05,2096.51074759
734048.586175972,0.007,0.03,2096.61469808
734048.586870706,0.02,0.056,2096.57547148
734048.587565451,0.004,0.031,2096.6784413
734048.588259514,0.017,0.055,2096.60685276
734048.588954282,-0.008,0.018,2096.66765399
734048.589648819,-0.002,0.041,2096.53918688
734048.590342893,0.005,0.039,2096.59018146
734048.591037639,-0.009,-0.011,2096.51859291
734048.59173169,-0.015,0.021,2096.62646606
734048.592426458,-0.001,0.059,2096.66569266
734048.593120521,-0.012,0.041,2096.60096877
734048.593815231,-0.004,0.027,2096.56174217
734048.594509306,0.019,0.065,2096.65980867
734048.595204074,0.015,0.062,2096.59312345
734048.595898137,-0.002,0.032,2096.58822013
734048.59659287,-0.007,0.034,2096.71178392
734048.597287639,-0.014,0.038,2096.55683885
734048.597981701,0.015,0.065,2096.65392468
734048.598676482,0.019,0.074,2096.75101051
734048.599370532,-0.007,0.047,2096.64313736
734048.600065393,0.019,0.099,2096.78141113
734048.600759456,-0.003,0.04,2096.53232222
734048.601454225,0.012,0.087,2096.64019537
734048.602148264,-0.012,0.032,2096.72453256
734048.602843044,-0.017,0.009,2096.64411803
734048.603537107,-0.015,0.021,2096.69707394
734048.60423184,-0.023,0.027,2096.77160448
734048.604925937,0.008,0.075,2096.74904919
734048.605620683,0.002,0.048,2096.83142504
734048.60631544,0.01,0.054,2096.6813833
734048.607009525,0.037,0.102,2096.69903527
734048.607704225,-0.019,0.002,2096.84417369
734048.60839831,0.009,0.089,2096.71178392
734048.609093079,0.009,0.081,2096.69217062
734048.609787141,-0.01,0.041,2096.72257123
734048.610481887,-0.01,0.019,2096.7402232
734048.611176296,-0.012,0.013,2096.77454648
