date,inclination,azimuth
270.00,37.32,-84.18
270.00,43.71,-94.17
270.01,32.78,-107.89
270.13,29.72,-36.34
270.13,36.43,-38.57
270.13,38.63,-48.59
270.25,5.15,140.41
270.25,4.80,163.60
270.26,4.45,162.18
270.38,39.09,-46.86
270.38,17.04,-43.47
270.38,23.72,4.54
270.50,29.10,-104.47
270.50,48.05,100.92
270.51,39.17,-108.75
270.63,38.48,-80.71
270.63,42.94,-88.96
270.63,21.25,-91.78
270.75,40.26,100.61
270.75,42.91,102.40
270.76,39.37,60.22
270.88,34.41,89.06
270.88,32.38,96.06
270.88,33.15,88.86
271.00,19.95,-115.52
271.00,14.41,-106.00
271.01,20.94,-117.53
271.13,12.60,62.62
271.13,3.86,96.94
271.13,6.64,134.61
271.25,30.44,69.91
271.25,32.57,77.47
271.26,35.20,89.23
271.38,21.20,91.11
271.38,24.55,116.70
271.38,24.46,92.97
271.50,16.21,-131.22
271.50,16.27,-115.55
271.51,7.63,-122.02
271.63,20.78,84.23
271.63,30.27,73.59
271.63,16.48,71.18
271.75,47.20,106.08
271.75,39.92,102.04
271.76,47.70,91.96
271.88,34.92,93.88
271.88,27.85,108.80
271.88,31.85,107.57
272.00,34.00,-44.36
272.00,38.13,-47.46
272.01,30.40,-52.22
272.13,18.99,119.98
272.13,16.77,131.64
272.13,18.68,122.59
272.25,36.46,86.10
272.25,34.24,87.43
272.26,29.14,52.25
272.38,10.96,-71.30
272.38,12.34,-98.12
272.38,29.31,-58.46
272.50,33.71,-109.15
272.50,36.12,-118.91
272.51,30.00,-98.87
272.63,37.73,-77.91
272.63,46.90,-84.39
272.63,37.69,-83.09
272.75,23.30,140.98
272.75,16.24,153.53
272.76,17.96,150.38
272.88,9.80,102.94
272.88,8.45,97.44
272.88,9.49,95.08
273.00,38.54,66.21
273.00,38.19,-87.52
273.01,38.90,-69.10
273.13,41.04,-67.74
273.13,38.08,-81.43
273.13,32.36,-71.23
273.25,4.63,16.58
273.25,1.41,-32.36
273.26,8.23,74.52
273.38,29.78,98.26
273.38,29.23,98.97
273.38,32.04,95.58
273.50,19.40,-88.97
273.50,21.58,-92.16
273.51,20.91,-105.10
273.63,29.60,-108.60
273.63,31.38,-112.88
273.63,33.54,-108.14
273.75,8.01,108.48
273.75,4.71,116.08
273.76,8.69,140.73
273.88,44.19,115.79
273.88,42.10,111.99
273.88,45.69,112.75
274.00,23.43,130.88
274.00,28.02,122.58
274.01,33.72,112.12
274.13,18.35,-93.56
274.13,23.12,-110.47
274.13,17.05,-111.53
274.25,23.77,114.16
274.25,23.54,115.92
274.26,25.78,121.98
274.38,16.21,-24.03
274.38,8.52,-24.84
274.38,29.51,-27.90
274.50,2.78,130.76
274.50,8.34,-121.46
274.51,6.93,105.47
274.63,17.95,-88.91
274.63,21.25,-112.28
274.63,12.23,-85.06
274.75,9.55,108.22
274.75,37.72,112.10
274.76,5.23,80.79
274.88,47.69,95.64
274.88,41.10,71.96
274.88,40.96,75.72
275.00,7.19,122.99
275.00,34.36,48.09
275.01,6.87,92.16
275.13,9.43,97.92
275.13,3.63,146.38
275.13,1.49,27.93
275.25,45.55,72.90
275.25,41.06,77.47
275.26,43.69,77.16
275.38,39.56,49.75
275.38,34.11,66.96
275.38,26.54,56.53
275.50,3.84,-29.87
275.50,8.86,-100.18
275.51,4.74,-51.80
275.63,15.62,-106.49
275.63,7.05,-142.60
275.63,13.35,-149.60
275.75,22.46,118.79
275.75,42.91,57.59
275.76,27.47,75.63
275.88,21.78,74.97
275.88,36.81,63.07
275.88,27.27,81.95
276.00,35.02,72.37
276.00,42.53,70.84
276.01,27.84,101.08
276.13,22.16,-77.10
276.13,27.40,-63.99
276.13,31.01,-62.98
276.25,18.90,-106.43
276.25,18.70,-132.27
276.26,19.54,-123.84
276.38,8.52,118.90
276.38,9.55,132.48
276.38,11.36,92.81
276.50,37.34,-60.74
276.50,21.39,-80.35
276.51,20.42,-78.11
276.63,13.72,-140.95
276.63,16.27,-116.52
276.63,14.49,-101.69
276.75,42.30,-100.30
276.75,22.55,-112.98
276.76,34.25,-91.40
276.88,21.36,-101.14
276.88,29.20,-118.16
276.88,22.01,-119.98
277.00,25.54,108.62
277.00,40.67,-112.04
277.01,39.29,105.86
277.13,22.79,-102.84
277.13,17.09,-116.00
277.13,18.15,-129.86
277.25,30.77,45.97
277.25,4.88,-4.52
277.26,2.07,95.63
277.38,5.17,-108.46
277.38,0.35,132.53
277.38,5.68,104.84
277.50,2.30,-20.81
277.50,5.44,27.04
277.51,8.03,34.12
277.63,7.05,124.87
277.63,6.15,107.25
277.63,7.96,109.53
277.75,31.96,41.67
277.75,12.67,-151.64
277.76,11.77,150.65
277.88,14.37,148.25
277.88,12.33,163.13
277.88,11.27,156.93
278.00,89.95,129.76
278.00,8.88,62.51
278.01,13.22,102.97
278.13,6.26,153.21
278.13,4.88,156.13
278.13,9.59,86.92
278.25,8.60,-43.25
278.25,11.16,-41.94
278.26,16.14,-22.32
278.38,7.53,-90.28
278.38,10.12,-116.49
278.38,13.00,-129.61
278.50,9.51,169.99
278.50,5.71,170.83
278.51,6.67,100.01
278.63,14.00,111.12
278.63,21.89,102.24
278.63,24.35,99.69
278.75,11.11,-72.97
278.75,7.18,-66.27
278.76,8.44,-73.33
278.88,4.97,-129.92
278.88,9.41,-112.36
278.88,6.40,-93.68
279.00,6.27,-5.74
279.00,33.58,57.03
279.01,8.20,112.43
279.13,42.65,81.83
279.13,30.03,89.01
279.13,38.43,84.65
279.25,34.98,62.18
279.25,44.60,85.17
279.26,43.95,84.23
279.38,30.30,-81.11
279.38,28.37,-88.34
279.38,27.86,-93.19
279.50,30.88,91.54
279.50,46.79,52.15
279.51,32.27,89.15
279.63,3.62,-64.11
279.63,6.67,-116.03
279.63,1.91,39.49
279.75,26.39,75.12
279.75,27.03,86.77
279.76,21.74,98.70
279.88,28.22,-22.37
279.88,24.48,-30.49
279.88,34.95,-42.28
280.00,28.17,46.92
280.00,18.94,114.27
280.01,27.43,107.77
280.13,33.35,101.20
280.13,24.17,103.30
280.13,26.16,104.17
280.25,23.14,118.33
280.25,26.41,105.86
280.26,28.88,104.15
280.38,24.73,-110.14
280.38,15.56,-108.81
280.38,8.06,-107.57
280.50,8.65,112.08
280.50,6.35,102.25
280.51,6.87,118.40
280.63,36.13,89.72
280.63,36.91,56.92
280.63,38.93,77.47
280.75,39.71,69.07
280.75,40.25,71.03
280.76,36.23,69.22
280.88,15.87,-93.79
280.88,17.83,-89.60
280.88,23.98,-85.21
