year,month,day,hour,minute,seconds,jday,wv_height,wnd_dir,wnd_spd,wnd_gspd,atm_prs,air_temp
2.0100000e+03,9.0000000e+00,2.9000000e+01,0.0000000e+00,7.0000000e+00,0.0000000e+00,2.7200486e+02, NaN,3.0000000e+02,1.1000000e+01, NaN, NaN,7.0000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.0000000e+00,3.0000000e+01,0.0000000e+00,2.7206250e+02, NaN,3.6000000e+02,5.0000000e+00, NaN, NaN,6.6000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.0000000e+00,5.0000000e+01,0.0000000e+00,2.7207639e+02, NaN,2.6000000e+02,6.0000000e+00, NaN, NaN,6.4000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,3.0000000e+00,1.0000000e+01,0.0000000e+00,2.7213194e+02, NaN,2.7000000e+02,5.0000000e+00, NaN, NaN,6.3000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,4.0000000e+00,1.0000000e+01,0.0000000e+00,2.7217361e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,4.0000000e+00,3.0000000e+01,0.0000000e+00,2.7218750e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,4.0000000e+00,5.0000000e+01,0.0000000e+00,2.7220139e+02, NaN,1.4000000e+02,3.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,5.0000000e+00,1.0000000e+01,0.0000000e+00,2.7221528e+02, NaN,2.1000000e+02,3.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,5.0000000e+00,3.0000000e+01,0.0000000e+00,2.7222917e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,5.0000000e+00,5.0000000e+01,0.0000000e+00,2.7224306e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,6.0000000e+00,1.0000000e+01,0.0000000e+00,2.7225694e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,6.0000000e+00,3.0000000e+01,0.0000000e+00,2.7227083e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,6.0000000e+00,5.0000000e+01,0.0000000e+00,2.7228472e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,7.0000000e+00,1.0000000e+01,0.0000000e+00,2.7229861e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,7.0000000e+00,3.0000000e+01,0.0000000e+00,2.7231250e+02, NaN,1.6000000e+02,3.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,7.0000000e+00,5.0000000e+01,0.0000000e+00,2.7232639e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,8.0000000e+00,1.0000000e+01,0.0000000e+00,2.7234028e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,8.0000000e+00,3.0000000e+01,0.0000000e+00,2.7235417e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,8.0000000e+00,5.0000000e+01,0.0000000e+00,2.7236806e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.4000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,9.0000000e+00,1.0000000e+01,0.0000000e+00,2.7238194e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,9.0000000e+00,3.0000000e+01,0.0000000e+00,2.7239583e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,9.0000000e+00,5.0000000e+01,0.0000000e+00,2.7240972e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.5000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.0000000e+01,1.0000000e+01,0.0000000e+00,2.7242361e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.0000000e+01,3.0000000e+01,0.0000000e+00,2.7243750e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.0000000e+01,5.0000000e+01,0.0000000e+00,2.7245139e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.1000000e+01,1.0000000e+01,0.0000000e+00,2.7246528e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.1000000e+01,3.0000000e+01,0.0000000e+00,2.7247917e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.1000000e+01,5.0000000e+01,0.0000000e+00,2.7249306e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.2000000e+01,1.0000000e+01,0.0000000e+00,2.7250694e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.2000000e+01,3.0000000e+01,0.0000000e+00,2.7252083e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.2000000e+01,5.0000000e+01,0.0000000e+00,2.7253472e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.3000000e+01,1.0000000e+01,0.0000000e+00,2.7254861e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.3000000e+01,3.0000000e+01,0.0000000e+00,2.7256250e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.3000000e+01,5.0000000e+01,0.0000000e+00,2.7257639e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.7000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.4000000e+01,1.0000000e+01,0.0000000e+00,2.7259028e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.4000000e+01,3.0000000e+01,0.0000000e+00,2.7260417e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.4000000e+01,5.0000000e+01,0.0000000e+00,2.7261806e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.5000000e+01,1.0000000e+01,0.0000000e+00,2.7263194e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.5000000e+01,3.0000000e+01,0.0000000e+00,2.7264583e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.5000000e+01,5.0000000e+01,0.0000000e+00,2.7265972e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.6000000e+01,1.0000000e+01,0.0000000e+00,2.7267361e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.6000000e+01,3.0000000e+01,0.0000000e+00,2.7268750e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.6000000e+01,5.0000000e+01,0.0000000e+00,2.7270139e+02, NaN, NaN,0.0000000e+00, NaN, NaN,5.9000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.7000000e+01,1.0000000e+01,0.0000000e+00,2.7271528e+02, NaN, NaN,0.0000000e+00, NaN, NaN,6.1000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.7000000e+01,3.0000000e+01,0.0000000e+00,2.7272917e+02, NaN, NaN,0.0000000e+00, NaN, NaN,6.3000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.8000000e+01,1.0000000e+01,0.0000000e+00,2.7275694e+02, NaN, NaN,0.0000000e+00, NaN, NaN,6.4000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.8000000e+01,1.1000000e+01,0.0000000e+00,2.7275764e+02, NaN,3.0000000e+02,3.0000000e+00, NaN, NaN,6.4000000e+01
2.0100000e+03,9.0000000e+00,2.9000000e+01,1.8000000e+01,2.8000000e+01,0.0000000e+00,2.7276944e+02, NaN,3.2000000e+02,3.0000000e+00, NaN, NaN,6.6000000e+01
