east,north,elevation
-35,-25,9.32108797751026
-35,-24.75,9.35678729763397
-35,-24.5,9.39248661775767
-35,-24.25,9.42818593788138
-35,-24,9.50451193627917
-35,-23.75,9.44835876205719
-35,-23.5,9.42951354003562
-35,-23.25,9.42669516046128
-35,-23,9.41862489471208
-35,-22.75,9.46767607134586
-35,-22.5,9.56493602663207
-35,-22.25,9.66219598191828
-35,-22,9.78455679566191
-35,-21.75,10.0578106425735
-35,-21.5,10.2929732816044
-35,-21.25,10.4871554232749
-35,-21,10.66833305479
-35,-20.75,10.6177472203402
-35,-20.5,10.5671613858905
-35,-20.25,10.5346528159316
-35,-20,10.5347966483753
-35,-19.75,10.5803307632363
-35,-19.5,10.6275777154557
-35,-19.25,10.6748246676751
-35,-19,10.7115102382841
-35,-18.75,10.6549983114575
-35,-18.5,10.5902371319297
-35,-18.25,10.5255975068633
-35,-18,10.475669212266
-35,-17.75,10.5132535423977
-35,-17.5,10.5635913217892
-35,-17.25,10.6139291011808
-35,-17,10.647484590386
-35,-16.75,10.6752186985698
-35,-16.5,10.7011692833784
-35,-16.25,10.7569886109364
-35,-16,10.8197431360088
-35,-15.75,10.8721927198264
-35,-15.5,10.9179328983761
-35,-15.25,10.9636730769257
-35,-15,11.0057016906096
-35,-14.75,11.0694028468282
-35,-14.5,11.1558937579074
-35,-14.25,11.2423846689866
-35,-14,11.3288755800659
-35,-13.75,11.3786448296653
-35,-13.5,11.3759519628313
-35,-13.25,11.3732590959974
-35,-13,11.3705662291635
-35,-12.75,11.3702485913681
-35,-12.5,11.3730587644797
-35,-12.25,11.3709319505787
-35,-12,11.3688051366777
-35,-11.75,11.3558987984315
-35,-11.5,11.3102511866106
-35,-11.25,11.269058039709
-35,-11,11.262993964891
-35,-10.75,11.2540494539062
-35,-10.5,11.2297769958553
-35,-10.25,11.2055045378045
-35,-10,11.1812320797536
-35,-9.75,11.1711400683219
-35,-9.5,11.1361263930817
-35,-9.25,11.1011127178415
-35,-9,11.0660990426013
-35,-8.75,11.0345415481732
-35,-8.5,11.0117161945075
-35,-8.25,10.988983951602
-35,-8,10.9662517086965
-35,-7.75,10.9243904434671
-35,-7.5,10.877816988257
-35,-7.25,10.8316583429303
-35,-7,10.7898146050267
-35,-6.75,10.7561591718783
-35,-6.5,10.7968857828682
-35,-6.25,10.8561826949794
-35,-6,10.9269546970955
-35,-5.75,10.9978824083965
-35,-5.5,11.0556568265811
-35,-5.25,11.0969365414281
-35,-5,11.1316201826521
-35,-4.75,11.1663038238762
-35,-4.5,11.1843617856531
-35,-4.25,11.1629893237814
-35,-4,11.1438357560064
-35,-3.75,11.1258547640686
-35,-3.5,11.1075245261517
-35,-3.25,11.0888867292737
-35,-3,11.0702489323956
-35,-2.75,11.0344970151831
-35,-2.5,11.0124285420261
-35,-2.25,11.0250898857486
-35,-2,11.04743336377
-35,-1.75,11.1099623189924
-35,-1.5,11.1679636667893
-35,-1.25,11.217657312127
