east,north,elevation
-0.25,-1,5
-7.25,2.5,5.25
-9,3.75,5.5
-10,3.75,5.75
-10,4,6
-7.25,-2.25,6.25
-7.75,-2.75,6.5
-7.5,-2.75,6.75
-7.5,-2.5,7
-15.75,4,7.25
-16,4,7.5
-16,4,7.75
-16,4.25,8
-19.25,3.5,8.25
-19.25,2.25,8.5
-19,2.25,8.75
-19,2.25,9
-20.25,3.75,9.25
-20,2.5,9.5
-20,2.5,9.75
-19.75,2.75,10
-19.75,2.75,10.25
-19.75,2.75,10.5
-7,-8.75,10.75
-6.75,-8.5,11
-6.5,-8.5,11.25
-9.25,-10.25,11.5
-9,-10.25,11.75
-9,-10,12
-9.25,-10,12.25
-24,-11,12.5
-24.5,-11.5,12.75
-24.25,-11.25,13
-23.5,-10.25,13.25
-23.5,-10.25,13.5
-24.5,-12.75,13.75
-25.75,-16,14
-25.25,-13.5,14.25
-27,-6.75,14.5
-27,-6.75,14.75
-27.5,-6.5,15
-26.5,-7.25,15.25
-25.75,-14.5,15.5
-26.25,-12.5,15.75
-26.25,-12.5,16
-25.75,-14,16.25
-27,-7.75,16.5
-27.75,-7,16.75
-27.5,-7.25,17
-27.25,-7.25,17.25
-27.25,-7,17.5
-27.25,-7,17.75
-27,-7,18
-28.5,-12.25,18.25
-28.5,-12.5,18.5
-29.5,-11,18.75
-29.25,-11.25,19
-29.25,-11.25,19.25
-29,-11.25,19.5
-28.5,-10,19.75
-29.25,-10.75,20
-29,-10.75,20.25
-28.25,-10.25,20.5
-28.5,-10.25,20.75
-28.25,-10.5,21
-28,-9.75,21.25
-28.75,-11,21.5
-28,-11,21.75
-28.75,-10,22
-28.25,-12,22.25
-28.5,-12,22.5
-28,-10.5,22.75
-27.5,-11.75,23
-28.5,-10,23.25
-28.75,-10.25,23.5
-29.25,-10.5,23.75
-27,-11,24
-28.5,-10.75,24.25
-26.5,-10,24.5
-29,-11.25,24.75
-27.75,-10.5,25
-26.25,-10,25.25
-27.75,-9.75,25.5
-28.25,-9.5,25.75
-28.25,-9.75,26
-28.5,-10.25,26.25
-28.75,-10.25,26.5
-28.75,-9.25,26.75
-29.25,-11,27
-25.75,-12,27.25
-28.75,-10.25,27.5
-28.75,-10.25,27.75
-28.25,-11.25,28
-28.5,-11,28.25
-28.25,-11,28.5
-27.5,-10.5,28.75
-28,-10.25,29
-28.25,-10.5,29.25
-27.5,-10.25,29.5
-27.5,-10.5,29.75
-27.75,-12.75,30
-27.25,-10.75,30.25
-27.25,-10.75,30.5
-27.5,-11,30.75
-27.75,-11,31
-27.75,-11,31.25
-27.5,-11,31.5
-27.5,-11.5,31.75
-27.75,-9.75,32
-27.75,-9.75,32.25
-28.5,-11.5,32.5
-27.75,-11.25,32.75
-27.75,-11.25,33
-27.75,-11.25,33.25
-26.5,-10.75,33.5
-26.5,-11.25,33.75
-26.5,-10,34
-26.75,-10,34.25
-27,-10,34.5
-25.5,-9.5,34.75
-25.5,-9.75,35
-25.5,-10,35.25
-25.75,-10,35.5
-26,-8.25,35.75
-26.25,-8.5,36
-24.75,-9.5,36.25
-25.75,-11.5,36.5
-26,-11.5,36.75
-25.5,-12.75,37
-21.5,-10.5,37.25
-21.75,-10.5,37.5
-22,-12,37.75
-18,-10.5,38
-17.5,-10.25,38.25
-18,-9.75,38.5
-17.25,-12.5,38.75
-17.5,-12,39
-17.25,-11.75,39.25
-20.25,-10.75,39.5
-20,-11.25,39.75
-17.5,-14.25,40
-17.5,-14.25,40.25
-20.5,-11.5,40.5
-20.75,-11.25,40.75
-21.25,-11,41
-21.5,-10.75,41.25
-15.5,-17,41.5
-19,-15,41.75
-19,-15.25,42
-17.75,-18,42.25
-17.75,-18,42.5
-19,-18.5,42.75
-19,-18.75,43
-18.25,-18.25,43.25
-18.5,-14.75,43.5
-18.75,-18,43.75
-19,-18,44
-19.25,-18,44.25
-19.25,-18.25,44.5
-19,-17,44.75
-35,-12.75,45
-35,-12.5,45.25
-22.25,-14.25,45.5
-21.75,-13.75,45.75
-22,-13.5,46
-33,-16.25,46.25
-33,-16.5,46.5
-32.75,-16.5,46.75
-30.75,-6,47
-28,-7.25,47.25
-27.75,-7,47.5
-35,-13,47.75
-35,-1.5,48
-31.75,-20,48.25
-35,-14.5,48.5
-29.75,-23.75,48.75
-30.5,-20.25,49
-27.75,-24.25,49.25
-29.25,-18.25,49.5
-26.25,-15.75,49.75
-26.25,-16,50
